,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
14517,7258,38,Sport,15,4,44.0,362,80.0,10,1,0,2,5
14518,7259,38,Atletico-GO,18,7,56.0,556,87.0,8,0,0,1,7
14519,7259,38,Coritiba,9,1,44.0,435,82.0,9,1,0,1,4
14520,7261,38,Botafogo-RJ,17,3,53.0,505,90.0,4,0,0,2,7
14521,7261,38,Ceara,12,6,47.0,469,86.0,7,2,1,0,5
14522,7263,38,Atletico-MG,19,8,52.0,451,89.0,22,3,0,5,5
14523,7263,38,Palmeiras,9,4,48.0,424,80.0,17,0,0,1,4
14524,7265,38,Fortaleza,9,2,52.0,422,85.0,12,0,0,1,5
14525,7265,38,Fluminense,9,3,48.0,401,86.0,10,0,0,0,3
14526,7260,38,Internacional,16,5,53.0,418,80.0,13,0,0,6,12
14527,7260,38,Corinthians,6,1,47.0,393,73.0,16,2,0,1,5
14528,7262,38,Sao Paulo,4,2,36.0,305,74.0,27,6,0,0,1
14529,7262,38,Flamengo,20,1,64.0,510,84.0,24,3,0,2,7
14530,7266,1,Juventude,7,3,40.0,342,77.0,14,3,0,1,1
14531,7266,1,Cuiaba,14,2,60.0,490,85.0,14,1,0,0,9
14532,7267,1,Santos,12,4,66.0,563,88.0,9,3,0,2,11
14533,7267,1,Bahia,5,3,34.0,304,75.0,18,3,0,2,4
14534,7268,1,Fluminense,11,5,28.0,251,70.0,12,2,0,2,5
14535,7268,1,Sao Paulo,7,3,72.0,636,87.0,10,1,0,2,4
14536,7269,1,Fortaleza,18,5,45.0,329,82.0,19,4,0,3,4
14537,7269,1,Atletico-MG,13,4,55.0,398,81.0,16,2,0,2,5
14538,7271,1,Ceara,12,6,35.0,277,70.0,17,3,0,2,5
14539,7271,1,Gremio,12,3,65.0,520,83.0,18,3,0,0,4
14540,7270,1,Palmeiras,12,5,38.0,300,81.0,21,3,0,3,4
14541,7270,1,Flamengo,14,10,62.0,503,87.0,25,2,0,0,3
14542,7273,1,Chapecoense,10,2,43.0,428,79.0,9,1,0,0,5
14543,7273,1,Bragantino,18,8,57.0,552,87.0,12,0,0,2,7
14544,7272,1,Corinthians,15,6,61.0,518,83.0,18,5,0,1,10
14545,7272,1,Atletico-GO,7,2,39.0,351,72.0,14,3,0,5,3
14546,7274,1,America-MG,14,4,43.0,429,81.0,9,2,0,0,1
14547,7274,1,Athletico-PR,11,5,57.0,557,83.0,18,1,0,0,3
14548,7275,1,Sport,8,5,43.0,362,82.0,15,2,0,2,1
14549,7275,1,Internacional,11,4,57.0,485,86.0,24,4,0,0,6
14550,7276,2,Sao Paulo,14,3,62.0,459,85.0,14,5,0,1,12
14551,7276,2,Atletico-GO,9,4,38.0,291,74.0,16,4,0,1,3
